responseTime,trial,targetWord,chosenWord,chosenCategory,chosenPosition,subjID,order,correct,german,aoa_german_comb,group,sex,age,age_group,source
5729,1,squirrel,squirrel,target,lower-left,11QViCtq,orderA,1,eichhörnchen,2.6,low,f,7.646817248459959,7,original CLT items
4189,2,cap,cap,target,upper-right,11QViCtq,orderA,1,mütze,1.95,low,f,7.646817248459959,7,original CLT items
3767,3,door,door,target,lower-left,11QViCtq,orderA,1,tür,3.12,low,f,7.646817248459959,7,original CLT items
3924,4,stairs,stairs,target,lower-right,11QViCtq,orderA,1,treppe,3.25,low,f,7.646817248459959,7,original CLT items
4496,5,desk,desk,target,lower-left,11QViCtq,orderA,1,schreibtisch,3.2,low,f,7.646817248459959,7,original CLT items
2922,6,strawberry,strawberry,target,upper-left,11QViCtq,orderA,1,erdbeere,3.47,low,f,7.646817248459959,7,original CLT items
2895,7,eye,eye,target,upper-left,11QViCtq,orderA,1,auge,2.69,low,f,7.646817248459959,7,original CLT items
3323,8,plane,plane,target,lower-left,11QViCtq,orderA,1,flugzeug,3.24,low,f,7.646817248459959,7,new items
2971,9,paintbrush,paintbrush,target,lower-left,11QViCtq,orderA,1,pinsel,3.43,low,f,7.646817248459959,7,original CLT items
2934,10,telephone,telephone,target,upper-right,11QViCtq,orderA,1,telefon,3.53,middle,f,7.646817248459959,7,original CLT items
2683,11,snake,snake,target,upper-left,11QViCtq,orderA,1,schlange,2,low,f,7.646817248459959,7,original CLT items
12552,12,carrot,carrot,target,lower-right,11QViCtq,orderA,1,möhre,3.36,low,f,7.646817248459959,7,original CLT items
2667,13,star,star,target,upper-left,11QViCtq,orderA,1,stern,3.29,low,f,7.646817248459959,7,original CLT items
2430,14,scissors,scissors,target,upper-right,11QViCtq,orderA,1,schere,3.38,low,f,7.646817248459959,7,original CLT items
7437,15,tiger,tiger,target,upper-right,11QViCtq,orderA,1,tiger,3.88,middle,f,7.646817248459959,7,original CLT items
3243,16,bone,bone,target,lower-right,11QViCtq,orderA,1,knochen,4.64,middle,f,7.646817248459959,7,original CLT items
2629,17,apple,apple,target,upper-left,11QViCtq,orderA,1,apfel,2.71,low,f,7.646817248459959,7,original CLT items
3009,18,fish,fish,target,lower-left,11QViCtq,orderA,1,fisch,2.76,low,f,7.646817248459959,7,original CLT items
2885,19,ant,ant,target,upper-right,11QViCtq,orderA,1,ameise,4.6,middle,f,7.646817248459959,7,original CLT items
2829,20,belt,belt,target,lower-right,11QViCtq,orderA,1,gürtel,4.11,middle,f,7.646817248459959,7,original CLT items
4336,21,fryingpan,fryingpan,target,upper-left,11QViCtq,orderA,1,pfanne,4.16,middle,f,7.646817248459959,7,new items
3839,22,zebra,zebra,target,upper-right,11QViCtq,orderA,1,zebra,3.65,middle,f,7.646817248459959,7,original CLT items
3680,23,needle,needle,target,upper-left,11QViCtq,orderA,1,nadel,4.22,middle,f,7.646817248459959,7,original CLT items
7646,24,bicycle,bicycle,target,upper-right,11QViCtq,orderA,1,fahrrad,3.8,middle,f,7.646817248459959,7,original CLT items
4821,25,ladder,ladder,target,upper-right,11QViCtq,orderA,1,leiter,4.47,middle,f,7.646817248459959,7,original CLT items
2775,26,battery,battery,target,lower-right,11QViCtq,orderA,1,batterie,5.94,middle,f,7.646817248459959,7,original CLT items
3384,27,elk,elk,target,upper-left,11QViCtq,orderA,1,elch,6.28,high,f,7.646817248459959,7,new items
6227,28,choir,choir,target,upper-right,11QViCtq,orderA,1,chor,7.19,high,f,7.646817248459959,7,new items
3026,29,kangaroo,kangaroo,target,lower-left,11QViCtq,orderA,1,känguru,5.89,middle,f,7.646817248459959,7,original CLT items
4204,30,ventilator,ventilator,target,upper-right,11QViCtq,orderA,1,ventilator,6.59,high,f,7.646817248459959,7,new items
2755,31,arugula,arugula,target,lower-right,11QViCtq,orderA,1,rucola,6.18,high,f,7.646817248459959,7,new items
3142,32,flag,flag,target,lower-right,11QViCtq,orderA,1,flagge,5.86,middle,f,7.646817248459959,7,original CLT items
2501,33,giraffe,giraffe,target,upper-left,11QViCtq,orderA,1,giraffe,3.79,middle,f,7.646817248459959,7,original CLT items
2901,34,palmtree,palmtree,target,lower-left,11QViCtq,orderA,1,palme,6.57,high,f,7.646817248459959,7,new items
2499,35,pineapple,pineapple,target,lower-right,11QViCtq,orderA,1,ananas,4.1,middle,f,7.646817248459959,7,original CLT items
3219,36,ocean,ocean,target,upper-left,11QViCtq,orderA,1,ozean,6.46,high,f,7.646817248459959,7,new items
4314,37,gazelle,gazelle,target,lower-right,11QViCtq,orderA,1,gazelle,6.31,high,f,7.646817248459959,7,new items
2672,38,ruler,ruler,target,lower-left,11QViCtq,orderA,1,lineal,4.9,middle,f,7.646817248459959,7,original CLT items
2401,39,badger,badger,target,lower-left,11QViCtq,orderA,1,dachs,6.17,high,f,7.646817248459959,7,new items
2877,40,chanterelle,chanterelle,target,upper-left,11QViCtq,orderA,1,pfifferling,7.13,high,f,7.646817248459959,7,new items
11354,41,ruin,ruin,target,lower-right,11QViCtq,orderA,1,ruine,6.21,high,f,7.646817248459959,7,new items
3353,42,labyrinth,labyrinth,target,lower-left,11QViCtq,orderA,1,labyrinth,6.63,high,f,7.646817248459959,7,new items
2877,43,mushroom,mushroom,target,lower-right,11QViCtq,orderA,1,pilz,3.67,middle,f,7.646817248459959,7,original CLT items
3944,44,orchid,orchid,target,lower-left,11QViCtq,orderA,1,orchidee,9.76,high,f,7.646817248459959,7,new items
3039,45,zucchini,zucchini,target,upper-right,11QViCtq,orderA,1,zucchini,5.95,middle,f,7.646817248459959,7,new items
3658,46,kayak,kayak,target,upper-left,11QViCtq,orderA,1,kajak,8.82,high,f,7.646817248459959,7,new items
5510,47,lobster,lobster,target,upper-right,11QViCtq,orderA,1,hummer,8,high,f,7.646817248459959,7,new items
4881,48,jaguar,jaguar,target,lower-right,11QViCtq,orderA,1,jaguar,7.64,high,f,7.646817248459959,7,new items
5610,49,carnation,carnation,target,upper-right,11QViCtq,orderA,1,nelke,7.82,high,f,7.646817248459959,7,new items
7481,50,satellite,meteorid,dist2,lower-right,11QViCtq,orderA,0,satellit,8.94,high,f,7.646817248459959,7,new items
19531,51,flounder,flounder,target,lower-right,11QViCtq,orderA,1,flunder,6.95,high,f,7.646817248459959,7,new items
9795,52,cello,cello,target,lower-left,11QViCtq,orderA,1,cello,8.67,high,f,7.646817248459959,7,new items
4552,1,door,door,target,lower-left,15X7mwV1,orderB,1,tür,3.12,low,f,5.683778234086242,5,original CLT items
4974,2,stairs,stairs,target,lower-right,15X7mwV1,orderB,1,treppe,3.25,low,f,5.683778234086242,5,original CLT items
4474,3,eye,eye,target,upper-left,15X7mwV1,orderB,1,auge,2.69,low,f,5.683778234086242,5,original CLT items
4308,4,desk,desk,target,lower-left,15X7mwV1,orderB,1,schreibtisch,3.2,low,f,5.683778234086242,5,original CLT items
3909,5,star,star,target,upper-left,15X7mwV1,orderB,1,stern,3.29,low,f,5.683778234086242,5,original CLT items
3285,6,squirrel,squirrel,target,lower-left,15X7mwV1,orderB,1,eichhörnchen,2.6,low,f,5.683778234086242,5,original CLT items
3775,7,cap,cap,target,upper-right,15X7mwV1,orderB,1,mütze,1.95,low,f,5.683778234086242,5,original CLT items
4650,8,telephone,telephone,target,upper-right,15X7mwV1,orderB,1,telefon,3.53,middle,f,5.683778234086242,5,original CLT items
6641,9,strawberry,strawberry,target,upper-left,15X7mwV1,orderB,1,erdbeere,3.47,low,f,5.683778234086242,5,original CLT items
3637,10,scissors,scissors,target,upper-right,15X7mwV1,orderB,1,schere,3.38,low,f,5.683778234086242,5,original CLT items
3512,11,bone,bone,target,lower-right,15X7mwV1,orderB,1,knochen,4.64,middle,f,5.683778234086242,5,original CLT items
2599,12,paintbrush,paintbrush,target,lower-left,15X7mwV1,orderB,1,pinsel,3.43,low,f,5.683778234086242,5,original CLT items
