german,aoa_german_comb,word_freq,sem_dom,familiarity_m,typicality_m,select,word_type
kartoffel,1.95,23.81,NA,NA,NA,x,noun
mütze,1.95,14.01,NA,NA,NA,x,noun
schlange,2,13.96,NA,NA,NA,x,noun
hören,2.1,NA,NA,NA,NA,x,verb
handschuh,2.25,10.96,NA,NA,NA,x,noun
lachen,2.29,NA,NA,NA,NA,x,verb
essen,2.57,NA,NA,NA,NA,x,verb
eichhörnchen,2.6,2.48,NA,NA,NA,x,noun
kochen,2.62,NA,NA,NA,NA,x,verb
lieb,2.63,NA,NA,NA,NA,x,adjective
auge,2.69,NA,NA,NA,NA,x,noun
apfel,2.71,13.15,NA,NA,NA,x,noun
kämmen,2.71,NA,NA,NA,NA,x,verb
schaukeln,2.75,NA,NA,NA,NA,x,verb
schaukeln,2.75,NA,NA,NA,NA,x,verb
fisch,2.76,42.66,NA,NA,NA,x,noun
fisch,2.76,42.66,NA,NA,NA,x,noun
jacke,2.77,10.55,NA,NA,NA,x,noun
schneiden,2.9,NA,NA,NA,NA,x,verb
füttern,2.9,NA,NA,NA,NA,x,verb
sauber,2.94,NA,NA,NA,NA,x,adjective
grün,2.95,NA,NA,NA,NA,x,adjective
satt,2.95,NA,NA,NA,NA,x,adjective
still,2.96,NA,NA,NA,NA,x,adjective
kapitän,3,22.28,NA,NA,NA,x,noun
aufwachen,3,NA,NA,NA,NA,x,verb
kämmen,3.1,NA,NA,NA,NA,x,verb
langsam,3.11,NA,NA,NA,NA,x,adjective
trommel,3.11,10.33,NA,NA,NA,x,noun
tür,3.12,NA,NA,NA,NA,x,noun
werfen,3.12,NA,NA,NA,NA,x,verb
hell,3.17,NA,NA,NA,NA,x,adjective
schreibtisch,3.2,22.68,NA,NA,NA,x,noun
flugzeug,3.24,NA,NA,NA,NA,x,noun
umrühren,3.24,NA,NA,NA,NA,x,verb
bürste,3.24,4.16,NA,NA,NA,x,noun
treppe,3.25,NA,NA,NA,NA,x,noun
motorrad,3.25,4.97,NA,NA,NA,x,noun
stern,3.29,NA,NA,NA,NA,x,noun
offen,3.31,NA,NA,NA,NA,x,adjective
hoch,3.33,NA,NA,NA,NA,x,adjective
