german;english;clt
Apfel;apple;yes
Möhre;carrot;yes
Fisch;fish;yes
Ameise;ant;yes
Auge;eye;yes
Treppe;stairs;yes
Schreibtisch;desk;yes
Telefon;telephone;yes
Pfanne;frying pan;yes
Ananas;pineapple;yes
Schere;scissors;yes
Känguru;kangaroo;yes
Erdbeere;strawberry;yes
Flugzeug;airplane;yes
Lineal;ruler;yes
Flagge;flag;yes
Fahrrad;bicycle;yes
Nadel;needle;yes
Pinsel;paintbrush;yes
Eichhörnchen;squirrel;yes
Leiter;ladder;yes
Gürtel;belt;yes
Giraffe;giraffe;yes
Pilz;mushroom;yes
Batterie;battery;yes
Tür;door;yes
Schlange;snake;yes
Zebra;zebra;yes
Tiger;tiger;yes
Knochen;bone;yes
Stern;star;yes
Mütze;cap;yes
essen;eat;yes
schreiben;write;yes
lachen;laugh;yes
umrühren;stir;yes
kochen;boil;yes
schneiden;cut;yes
graben;dig;yes
stehlen;steal;yes
braten;fry;yes
regnen;rain;yes
umarmen;hug;yes
feilen;file;yes
auspressen;squeeze;yes
rudern;row;yes
melken;milk;yes
harken;rake;yes
anzünden;light;yes
jagen;hunt;yes
werfen;throw;yes
schwitzen;sweat;yes
kämmen;comb;yes
aufwachen;wake up;yes
wiegen;weigh;yes
hämmern;hammer;yes
stricken;knit;yes
schleppen;drag;yes
schaukeln;swing;yes
fernsehen;watch [TV];yes
füttern;feed;yes
tippen;type;yes
hören;listen;yes
kicken;kick;yes
